	assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
2404	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(NCCO)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208963	=	=	IC50	nM	3700.0	IC50	uM	3.7
2405	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(NC5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208964	=	=	IC50	nM	4700.0	IC50	uM	4.7
2406	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccc(NC5CCN(C)CC5)nc4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208965	=	=	IC50	nM	16000.0	IC50	uM	16.0
2407	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(NC5CCN(C)CC5)n4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208966	=	=	IC50	nM	15000.0	IC50	uM	15.0
2408	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(CCN5CCOCC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209015	=	=	IC50	nM	2100.0	IC50	uM	2.1
2409	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(CCN5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209016	=	=	IC50	nM	1900.0	IC50	uM	1.9
2410	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(CCCN(C)C)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209017	=	=	IC50	nM	5000.0	IC50	uM	5.0
2411	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	CCN1CCN(CCCn2cc(-c3ccc4c(c3)ncn4-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)cn2)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209018	=	=	IC50	nM	4500.0	IC50	uM	4.5
2412	Inhibition of human recombinant CYP3A4 using diethoxyfluorescein as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(C)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209842	=	=	IC50	nM	200.0	IC50	uM	0.2
2413	Inhibition of human recombinant CYP3A4 using 7-{3-(4-phenylpiperazin-1-ylmethyl)benzyl}resorufin as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccncc4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209674	<	<	IC50	nM	100.0	IC50	uM	0.1
2414	Inhibition of human recombinant CYP3A4 using 7-{3-(4-phenylpiperazin-1-ylmethyl)benzyl}resorufin as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208835	=	=	IC50	nM	6500.0	IC50	uM	6.5
2415	Inhibition of human recombinant CYP3A4 using diethoxyfluorescein as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208892	=	=	IC50	nM	6800.0	IC50	uM	6.8
2416	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4cnn(C)c4)ccc32)sc1C(N)=O)c1ccccc1Cl	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209842	=	=	IC50	nM	200.0	IC50	uM	0.2
2417	Inhibition of human recombinant CYP3A4 using 7-benzyloxyquinoline as substrate by fluorescence plate reader	C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208892	>	>	IC50	nM	100000.0	IC50	uM	100.0
2418	Inhibition of CYP3A4	CC(C)C(=O)N1C[C@H]2[C@@H](CNc3nc(-c4ccccn4)cs3)[C@H]2C1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209049	>=	>=	IC50	nM	7000.0	IC50	uM	7.0
2419	Inhibition of CYP3A4	O=C(C1CCOC1)N1C[C@H]2[C@@H](CNc3nc(-c4ccccn4)cs3)[C@H]2C1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209217	>	>	IC50	nM	10000.0	IC50	uM	10.0
2420	inhibition of CYP3A4	Cc1nc2cc(-c3ccccc3)nn2c(-c2ccc(Cl)cc2Cl)c1CN	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209538	=	=	IC50	nM	1000.0	IC50	uM	1.0
2421	inhibition of CYP3A4	Cc1nc2nc(-c3ccccc3)cn2c(-c2ccc(Cl)cc2Cl)c1CN	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209853	=	=	IC50	nM	1000.0	IC50	uM	1.0
2422	Inhibition of CYP1A2	CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209322	>	>	IC50	nM	5000.0	IC50	uM	5.0
2423	Inhibition of CYP1A2	C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209617	>	>	IC50	nM	5000.0	IC50	uM	5.0
2424	Inhibition of CYP1A2	C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209685	>	>	IC50	nM	5000.0	IC50	uM	5.0
2425	Inhibition of CYP1A2	CC[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209686	>	>	IC50	nM	5000.0	IC50	uM	5.0
2426	Inhibition of CYP3A4	CCCCCCCc1nc(-c2ccc(CNC(=O)[C@H]3NCC[C@@H]3O)cc2)no1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209322	>	>	IC50	nM	5000.0	IC50	uM	5.0
2427	Inhibition of CYP3A4	C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCC3)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209617	>	>	IC50	nM	5000.0	IC50	uM	5.0
2428	Inhibition of CYP3A4	C[C@H](NC(=O)[C@H]1NCC[C@@H]1O)c1ccc(-c2noc(CCC3CCCCC3)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209685	=	=	IC50	nM	4300.0	IC50	uM	4.3
2429	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209553	<	<	IC50	nM	68.0	IC50	nM	68.0
2430	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209553	=	=	IC50	nM	87.0	IC50	nM	87.0
2431	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN(Cc2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209554	=	=	IC50	nM	1400.0	IC50	nM	1400.0
2432	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(OC(F)(F)F)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209555	=	=	IC50	nM	490.0	IC50	nM	490.0
2433	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209556	=	=	IC50	nM	280.0	IC50	nM	280.0
2434	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN(Cc2cccs2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209623	=	=	IC50	nM	1160.0	IC50	nM	1160.0
2435	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209625	<	<	IC50	nM	68.0	IC50	nM	68.0
2436	Inhibition of human CYP3A4-mediated testosterone oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC(C)(C)O)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209627	<	<	IC50	nM	68.0	IC50	nM	68.0
2437	Inhibition of human CYP3A4-mediated testosterone oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC2(C)COC2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209628	<	<	IC50	nM	68.0	IC50	nM	68.0
2438	Inhibition of human CYP3A4-mediated testosterone oxidation	COC(C)(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209693	=	=	IC50	nM	530.0	IC50	nM	530.0
2439	Inhibition of human CYP3A4-mediated testosterone oxidation	CC(C)OCC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209694	=	=	IC50	nM	120.0	IC50	nM	120.0
2440	Inhibition of human CYP3A4-mediated testosterone oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC2CC2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208801	=	=	IC50	nM	180.0	IC50	nM	180.0
2441	Inhibition of human CYP3A4-mediated testosterone oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@@H](O)c2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209695	=	=	IC50	nM	900.0	IC50	nM	900.0
2442	Inhibition of human CYP3A4-mediated testosterone oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@H](O)c2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209696	=	=	IC50	nM	1920.0	IC50	nM	1920.0
2443	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN(Cc2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209554	=	=	IC50	nM	100.0	IC50	nM	100.0
2444	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(OC(F)(F)F)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209555	<	<	IC50	nM	68.0	IC50	nM	68.0
2445	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209556	<	<	IC50	nM	68.0	IC50	nM	68.0
2446	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN(Cc2cccs2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209623	<	<	IC50	nM	68.0	IC50	nM	68.0
2447	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209625	<	<	IC50	nM	68.0	IC50	nM	68.0
2448	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)CC1n2cncc2CN([C@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209626	<	<	IC50	nM	68.0	IC50	nM	68.0
2449	Inhibition of human CYP3A4-mediated midazolam oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC(C)(C)O)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209627	<	<	IC50	nM	68.0	IC50	nM	68.0
2450	Inhibition of human CYP3A4-mediated midazolam oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC2(C)COC2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209628	<	<	IC50	nM	68.0	IC50	nM	68.0
2451	Inhibition of human CYP3A4-mediated midazolam oxidation	COC(C)(C)CC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209693	<	<	IC50	nM	68.0	IC50	nM	68.0
2452	Inhibition of human CYP3A4-mediated midazolam oxidation	CC(C)OCC1n2cncc2CN([C@@H](C)c2ccc(Cl)cc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209694	<	<	IC50	nM	68.0	IC50	nM	68.0
2453	Inhibition of human CYP3A4-mediated midazolam oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC2CC2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1208801	<	<	IC50	nM	68.0	IC50	nM	68.0
2454	Inhibition of human CYP3A4-mediated midazolam oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@H](O)c2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209696	<	<	IC50	nM	68.0	IC50	nM	68.0
2455	Inhibition of human CYP3A4-mediated midazolam oxidation	C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@@H](O)c2ccccc2)S1(=O)=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1209695	=	=	IC50	nM	100.0	IC50	nM	100.0
2456	Inhibition of human CY3A4	CCc1ccc(S(=O)(=O)Nc2ccccc2Br)cc1NC1CCN(C)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1210646	=	=	IC50	nM	9620.0	IC50	uM	9.62
2457	Inhibition of human CY3A4	COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1NC1CCN(C)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1210648	=	=	IC50	nM	8440.0	IC50	uM	8.44
2458	Inhibition of human recombinant CYP3A4 after 30 mins	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	Antimicrob. Agents Chemother.	2010.0	CHEMBL1269597	=	=	IC50	nM	58500.0	IC50	uM	58.5
2459	Inhibition of human recombinant CYP3A4 after 30 mins	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	Antimicrob. Agents Chemother.	2010.0	CHEMBL160	=	=	IC50	nM	6600.0	IC50	uM	6.6
2460	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)N[C@H]1Cc2ccc(-c3ccc(F)cn3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214452	>	>	IC50	nM	10000.0	IC50	uM	10.0
2461	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3ccc(Cl)cn3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214451	>	>	IC50	nM	10000.0	IC50	uM	10.0
2462	Inhibition of human CYP3A4 after 10 mins	Cc1cccnc1-c1ccc2c(c1)CC(NS(=O)(=O)C(C)C)C2	J. Med. Chem.	2010.0	CHEMBL1214450	>	>	IC50	nM	10000.0	IC50	uM	10.0
2463	Inhibition of human CYP3A4 after 10 mins	Cc1ccc(-c2ccc3c(c2)CC(NS(=O)(=O)C(C)C)C3)nc1	J. Med. Chem.	2010.0	CHEMBL1214449	>	>	IC50	nM	10000.0	IC50	uM	10.0
2464	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3ccc(F)cn3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214448	>	>	IC50	nM	10000.0	IC50	uM	10.0
2465	Inhibition of human CYP3A4 after 10 mins	Cc1ccc(-c2ccc3c(c2)C[C@@H](NS(=O)(=O)C(C)C)C3)cn1	J. Med. Chem.	2010.0	CHEMBL1214447	>	>	IC50	nM	10000.0	IC50	uM	10.0
2466	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)N[C@H]1Cc2ccc(-c3ccc(F)nc3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214399	>	>	IC50	nM	10000.0	IC50	uM	10.0
2467	Inhibition of human CYP3A4 after 10 mins	Cc1ccc(-c2ccc3c(c2)CC(NS(=O)(=O)C(C)C)C3)cn1	J. Med. Chem.	2010.0	CHEMBL1214397	>	>	IC50	nM	10000.0	IC50	uM	10.0
2468	Inhibition of human CYP3A4 after 10 mins	Cc1ccncc1-c1ccc2c(c1)CC(NS(=O)(=O)C(C)C)C2	J. Med. Chem.	2010.0	CHEMBL1214396	>	>	IC50	nM	9000.0	IC50	uM	9.0
2469	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3cncc(C#N)c3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214395	>	>	IC50	nM	10000.0	IC50	uM	10.0
2470	Inhibition of human CYP3A4 after 10 mins	Cc1ccc(-c2ccc3c(c2)CC(NS(=O)(=O)C(C)C)C3)c(C)n1	J. Med. Chem.	2010.0	CHEMBL1214394	>	>	IC50	nM	10000.0	IC50	uM	10.0
2471	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3ccc(F)nc3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214338	>	>	IC50	nM	10000.0	IC50	uM	10.0
2472	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccnc3F)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214337	>	>	IC50	nM	10000.0	IC50	uM	10.0
2473	Inhibition of human CYP3A4 after 10 mins	CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccnc3)cc2C1	J. Med. Chem.	2010.0	CHEMBL1214336	>	>	IC50	nM	10000.0	IC50	uM	10.0
2474	Inhibition of CYP3A4	COC(=O)C1=C(Cn2ccnc2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl	J. Med. Chem.	2010.0	CHEMBL1215552	=	=	IC50	nM	200.0	IC50	uM	0.2
2475	Inhibition of CYP3A4	COC(=O)C1=C(Cn2cccn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl	J. Med. Chem.	2010.0	CHEMBL1215620	=	=	IC50	nM	1100.0	IC50	uM	1.1
2476	Inhibition of CYP3A4	COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl	J. Med. Chem.	2010.0	CHEMBL1215621	=	=	IC50	nM	800.0	IC50	uM	0.8
2477	Inhibition of CYP3A4	COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl	J. Med. Chem.	2010.0	CHEMBL1215622	=	=	IC50	nM	1200.0	IC50	uM	1.2
2478	Inhibition of CYP3A4	COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl	J. Med. Chem.	2010.0	CHEMBL1215623	>	>	IC50	nM	10000.0	IC50	uM	10.0
2479	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Oc1ccc(-c2ccc(C(O)c3ccncc3)cc2)cc1	J. Med. Chem.	2010.0	CHEMBL1215664	=	=	IC50	nM	3210.0	IC50	nM	3210.0
2480	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Nc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1	J. Med. Chem.	2010.0	CHEMBL1215665	=	=	IC50	nM	2450.0	IC50	nM	2450.0
2481	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Nc1cccc(-c2ccc(Cc3ccncc3)cc2)c1	J. Med. Chem.	2010.0	CHEMBL1171987	=	=	IC50	nM	1520.0	IC50	nM	1520.0
2482	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Oc1cccc(-c2ccc(Cc3ccncc3)cc2)c1	J. Med. Chem.	2010.0	CHEMBL1172882	=	=	IC50	nM	538.0	IC50	nM	538.0
2483	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1O	J. Med. Chem.	2010.0	CHEMBL1172779	=	=	IC50	nM	7580.0	IC50	nM	7580.0
2484	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F	J. Med. Chem.	2010.0	CHEMBL1173260	=	=	IC50	nM	896.0	IC50	nM	896.0
2485	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Fc1cccc(-c2ccc(Cc3ccncc3)cc2)c1	J. Med. Chem.	2010.0	CHEMBL1215732	=	=	IC50	nM	668.0	IC50	nM	668.0
2486	Inhibition of recombinant CYP3A4 expressed in baculovirus-infected insect microsome	Oc1ccc2cc(-c3ccc(Cc4ccncc4)cc3)ccc2c1	J. Med. Chem.	2010.0	CHEMBL1214739	=	=	IC50	nM	1140.0	IC50	nM	1140.0
2487	Inhibition of CYP3A4 in human liver microsomes	COc1ccc(Cn2c(=O)n(C3CCN(C(=O)C4CCN(Cc5ccncc5)CC4)CC3)c3ccccc32)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1223003	=	=	IC50	nM	400.0	IC50	uM	0.4
2488	Inhibition of CYP3A4 in human liver microsomes	COc1cccc(Cn2c(=O)n(C3CCN(C(=O)C4CCN(Cc5ccncc5)CC4)CC3)c3ccccc32)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1223002	=	=	IC50	nM	200.0	IC50	uM	0.2
2489	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3ccc(Cl)cc3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1223001	=	=	IC50	nM	400.0	IC50	uM	0.4
2490	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3cccc(Cl)c3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222940	=	=	IC50	nM	300.0	IC50	uM	0.3
2491	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3ccccc3Cl)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222939	=	=	IC50	nM	500.0	IC50	uM	0.5
2492	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3ccccc3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222938	=	=	IC50	nM	400.0	IC50	uM	0.4
2493	Inhibition of CYP3A4 in human liver microsomes	CN(C)CCCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222865	>	>	IC50	nM	30000.0	IC50	uM	30.0
2494	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(CCN3CCOCC3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222864	=	=	IC50	nM	30000.0	IC50	uM	30.0
2495	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(CCN3CCCCC3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222863	=	=	IC50	nM	30000.0	IC50	uM	30.0
2496	Inhibition of CYP3A4 in human liver microsomes	CN(C)CCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222800	>	>	IC50	nM	30000.0	IC50	uM	30.0
2497	Inhibition of CYP3A4 in human liver microsomes	CCOCCCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222799	=	=	IC50	nM	10600.0	IC50	uM	10.6
2498	Inhibition of CYP3A4 in human liver microsomes	O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(CCOc3ccccc3)c3ccccc32)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222798	=	=	IC50	nM	9000.0	IC50	uM	9.0
2499	Inhibition of CYP3A4 in human liver microsomes	CC(C)OCCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222719	=	=	IC50	nM	6000.0	IC50	uM	6.0
2500	Inhibition of CYP3A4 in human liver microsomes	CCOCCn1c(=O)n(C2CCN(C(=O)C3CCN(Cc4ccncc4)CC3)CC2)c2ccccc21	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1222718	=	=	IC50	nM	13500.0	IC50	uM	13.5
