assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)NC6CC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242081	>	>	IC50	nM	7000.0	IC50	uM	7.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)NCC6CC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242345	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)NCC6CC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242345	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242533	>	>	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242533	>	>	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCCCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242623	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCCCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242623	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCOCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242717	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N6CCOCC6)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1242717	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	88000.0	IC50	uM	88.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	61000.0	IC50	uM	61.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(N)=O)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241913	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	21000.0	IC50	uM	21.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	8000.0	IC50	uM	8.0
Inhibition of CYP3A4 in human liver microsomes measured immediately	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	100000.0	IC50	uM	100.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	3000.0	IC50	uM	3.0
Inhibition of CYP3A4 in human liver microsomes measured after incubation	CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241912	=	=	IC50	nM	82000.0	IC50	uM	82.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1cn2c(n1)COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2	J. Med. Chem.	2010.0	CHEMBL1241547	<	<	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nc(C)c(C)n4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241548	<	<	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nc(C(F)(F)F)cn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241641	<	<	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4cncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241642	=	=	IC50	nM	100.0	IC50	uM	0.1
Inhibition of CYP3A4 in human liver microsomes using diethoxyfluorescein/7-benzyloxyquinoline as substrate	Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C#N)ncn4-5)CC3)cccc2n1	J. Med. Chem.	2010.0	CHEMBL1241825	=	=	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of CYP3A4	FC(F)(F)c1ccc(SCC(c2c[nH]cn2)C2CCNCC2)cc1	J. Med. Chem.	2010.0	CHEMBL1243305	=	=	IC50	nM	17000.0	IC50	uM	17.0
Inhibition of CYP3A4	CC(C)(C)c1ccc(SCC(c2c[nH]cn2)C2CCNCC2)cc1	J. Med. Chem.	2010.0	CHEMBL1243333	=	=	IC50	nM	6500.0	IC50	uM	6.5
Inhibition of CYP3A4	CC(C)(C)c1ccc(SCC(c2ccccn2)c2c[nH]cn2)cc1	J. Med. Chem.	2010.0	CHEMBL1243335	=	=	IC50	nM	270.0	IC50	uM	0.27
Inhibition of CYP3A4	FC(F)(F)c1ccc(SCC(c2ccncc2)c2c[nH]cn2)cc1	J. Med. Chem.	2010.0	CHEMBL1243367	=	=	IC50	nM	350.0	IC50	uM	0.35
Inhibition of CYP3A4	CC(C)(C)c1ccc(SCCc2c[nH]cn2)cc1	J. Med. Chem.	2010.0	CHEMBL1098230	=	=	IC50	nM	470.0	IC50	uM	0.47
Inhibition of CYP3A4	CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C	J. Med. Chem.	2010.0	CHEMBL1230065	=	=	IC50	nM	18000.0	IC50	uM	18.0
Inhibition of human CYP3A4	CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	Antimicrob. Agents Chemother.	2008.0	CHEMBL163	<	<	Ki	nM	100.0	Ki	uM	0.1
Inhibition of CYP3A4	C[C@@H](O[C@H]1CN2C(=O)[C@H]3C[C@@](C)(O)C[C@H]3[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257706	=	=	IC50	nM	22680.0	IC50	uM	22.68
Inhibition of CYP3A4	O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258517	>	>	IC50	nM	30000.0	IC50	uM	30.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(Cc3ccncc3)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257487	=	=	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3[C@@H](C)CNC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257964	=	=	IC50	nM	26000.0	IC50	uM	26.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc(C(=O)N2CCC(F)(F)CC2)n3C(C)C)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL497031	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCNC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258754	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCCNC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258755	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(C)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258873	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(CC3CC3)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257138	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(Cc3ccc(F)cc3)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257376	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3CCN(CCO)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257607	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3C[C@@H](C)NC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257729	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3C[C@H](C)NC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257850	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3[C@H](C)CNC2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257851	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2ccc3c(c2)cc2n3C[C@@H](C)N(CC3CC3)C2=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1257965	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2cc3cc4n(c3cc2Br)[C@@H](C)CNC4=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258078	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	CC(C)N1CCC(Oc2cc3cc4n(c3cc2Br)[C@@H](C)CN(CC2CC2)C4=O)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258079	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of CYP3A4	C[C@@H]1CCCN1CCCOc1ccc2c(c1)cc1n2CCNC1=O	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1258308	>	>	IC50	nM	50000.0	IC50	uM	50.0
Inhibition of human CYP3A4	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL117	>	>	IC50	nM	50000.0	IC50	nM	50000.0
Inhibition of human CYP3A4	Cc1ncoc1-c1nnc(SCCCN2[C@H]3CC[C@@H]2C[C@H](c2ccc(C(C)(C)C)cc2)C3)n1C	J. Med. Chem.	2010.0	CHEMBL1257215	>	>	IC50	nM	5000.0	IC50	uM	5.0
Inhibition of human CYP3A4	Cc1ncoc1-c1nnc(SCCCN2[C@H]3CC[C@@H]2C[C@H](c2ccc(C(F)(F)F)cc2)C3)n1C	J. Med. Chem.	2010.0	CHEMBL1257336	>	>	IC50	nM	10000.0	IC50	uM	10.0
Inhibition of human CYP3A4	Cn1c(SCCCN2CCC3CC3(c3ccc(C(F)(F)F)cc3)CC2)nnc1-c1ccnnc1	J. Med. Chem.	2010.0	CHEMBL1258034	>	>	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of human CYP3A4	Cc1ncoc1-c1nnc(SCCCN[C@@H]2CC[C@]3(c4ccc(C(F)(F)F)cc4)CC23)n1C	J. Med. Chem.	2010.0	CHEMBL1258035	>	>	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of human CYP3A4	CCOc1ccc2c(c1)Oc1cc(OCC)ccc1C21OC(=O)c2ccccc21	J. Med. Chem.	2010.0	CHEMBL1257567	=	=	IC50	nM	1000.0	IC50	uM	1.0
Inhibition of human CYP3A4	c1ccc(COc2ccc3cccnc3c2)cc1	J. Med. Chem.	2010.0	CHEMBL1081779	=	=	IC50	nM	25000.0	IC50	uM	25.0
Inhibition of CYP3A4 by competitive inhibition assay	CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270362	=	=	IC50	nM	110.0	IC50	uM	0.11
Inhibition of CYP3A4 in presence of NADPH	CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270362	=	=	IC50	nM	4.0	IC50	uM	0.004
Inhibition of CYP3A4	CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270362	=	=	IC50	nM	46.0	IC50	uM	0.046
Inhibition of CYP3A4 using midazolam as substrate	COCCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269671	=	=	IC50	nM	4800.0	IC50	uM	4.8
Inhibition of CYP3A4 using midazolam as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cccc(C)c3C)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270661	=	=	IC50	nM	7400.0	IC50	uM	7.4
Inhibition of CYP3A4 using midazolam as substrate	COCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269672	=	=	IC50	nM	3200.0	IC50	uM	3.2
Inhibition of CYP3A4 using midazolam as substrate	CNCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269673	=	=	IC50	nM	14000.0	IC50	uM	14.0
Inhibition of CYP3A4 using midazolam as substrate	CNCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269674	=	=	IC50	nM	15000.0	IC50	uM	15.0
Inhibition of CYP3A4 using midazolam as substrate	CCNCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269675	=	=	IC50	nM	14000.0	IC50	uM	14.0
Inhibition of CYP3A4 using midazolam as substrate	CCNCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269676	=	=	IC50	nM	15000.0	IC50	uM	15.0
Inhibition of CYP3A4 using midazolam as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNCCF)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269680	=	=	IC50	nM	7300.0	IC50	uM	7.3
Inhibition of CYP3A4 using midazolam as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNCC(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269681	=	=	IC50	nM	3100.0	IC50	uM	3.1
Inhibition of CYP3A4 using midazolam as substrate	CC(=O)NCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269682	=	=	IC50	nM	2400.0	IC50	uM	2.4
Inhibition of CYP3A4 using midazolam as substrate	CNC(=O)CCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269683	=	=	IC50	nM	2900.0	IC50	uM	2.9
Inhibition of CYP3A4 using midazolam as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CCNC(=O)CC(F)(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269684	=	=	IC50	nM	2800.0	IC50	uM	2.8
Inhibition of CYP3A4 using midazolam as substrate	CCNC(=O)Cc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269686	=	=	IC50	nM	2100.0	IC50	uM	2.1
Inhibition of CYP3A4 using midazolam as substrate	CC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269687	=	=	IC50	nM	5100.0	IC50	uM	5.1
Inhibition of CYP3A4 using midazolam as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNC(=O)CC(F)(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269692	=	=	IC50	nM	4000.0	IC50	uM	4.0
Inhibition of CYP3A4 using midazolam as substrate	COC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269696	=	=	IC50	nM	3500.0	IC50	uM	3.5
Inhibition of CYP3A4 using midazolam as substrate	COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c(Cl)cn1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269697	=	=	IC50	nM	5900.0	IC50	uM	5.9
Inhibition of CYP3A4 using testosterone as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cccc(C)c3C)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270661	=	=	IC50	nM	11000.0	IC50	uM	11.0
Inhibition of CYP3A4 using testosterone as substrate	COCCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269671	=	=	IC50	nM	8100.0	IC50	uM	8.1
Inhibition of CYP3A4 using testosterone as substrate	CNCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269673	=	=	IC50	nM	16000.0	IC50	uM	16.0
Inhibition of CYP3A4 using testosterone as substrate	CNCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269674	=	=	IC50	nM	17000.0	IC50	uM	17.0
Inhibition of CYP3A4 using testosterone as substrate	CCNCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269675	=	=	IC50	nM	17000.0	IC50	uM	17.0
Inhibition of CYP3A4 using testosterone as substrate	CCNCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269676	=	=	IC50	nM	18000.0	IC50	uM	18.0
Inhibition of CYP3A4 using testosterone as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNCCF)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269680	=	=	IC50	nM	9900.0	IC50	uM	9.9
Inhibition of CYP3A4 using testosterone as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNCC(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269681	=	=	IC50	nM	4800.0	IC50	uM	4.8
Inhibition of CYP3A4 using testosterone as substrate	CC(=O)NCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269682	=	=	IC50	nM	6000.0	IC50	uM	6.0
Inhibition of CYP3A4 using testosterone as substrate	CNC(=O)CCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269683	=	=	IC50	nM	8900.0	IC50	uM	8.9
Inhibition of CYP3A4 using testosterone as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CCNC(=O)CC(F)(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269684	=	=	IC50	nM	4500.0	IC50	uM	4.5
Inhibition of CYP3A4 using testosterone as substrate	CCNC(=O)Cc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269686	=	=	IC50	nM	7100.0	IC50	uM	7.1
Inhibition of CYP3A4 using testosterone as substrate	CC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269687	=	=	IC50	nM	8400.0	IC50	uM	8.4
Inhibition of CYP3A4 using testosterone as substrate	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNC(=O)CC(F)(F)F)ccc3Cl)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269692	=	=	IC50	nM	7900.0	IC50	uM	7.9
Inhibition of CYP3A4 using testosterone as substrate	COC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1269696	=	=	IC50	nM	6500.0	IC50	uM	6.5
Inhibition of CYP3A4	Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cccc(C)c3C)C3CC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1270661	>	>	IC50	nM	7000.0	IC50	uM	7.0
Inhibition of CYP3A4	Cc1cc(Cl)c(OCCOc2ccc(C3=C(C(=O)N(Cc4cccc(Cl)c4Cl)C4CC4)CNCC3)cc2)c(Cl)c1	Bioorg. Med. Chem. Lett.	2010.0	CHEMBL1087637	=	=	IC50	nM	800.0	IC50	uM	0.8
